carehomesbeds,year_location_end,forced_closure,ownership,individual_partnership,company,age,dementia,nurse,mental_health,detained,disabled,closed_complete,inadequate,requiresimprovement,good,outstanding,missing_quality
42,2011,0,For-Profit,0,1,9.8666668,1,1,0,0,1,0,,,,,1
72,2011,0,For-Profit,0,1,11.4,1,1,0,0,0,0,,,,,1
60,2011,0,For-Profit,0,1,10.033334,0,1,0,0,1,0,,,,,1
64,2011,0,For-Profit,0,1,11,1,0,0,0,0,0,,,,,1
6,2011,0,For-Profit,0,1,10.266666,0,0,0,0,1,0,,,,,1
41,2011,0,For-Profit,0,1,4.3333335,0,1,0,0,0,0,,,,,1
6,2011,0,Third sector,0,0,4.9666667,0,0,0,0,0,1,,,,,1
50,2011,0,For-Profit,0,1,10.033334,0,1,0,0,0,0,,,,,1
17,2011,0,For-Profit,1,0,3.7666667,0,0,0,0,0,1,,,,,1
9,2011,0,Third sector,0,0,10.5,0,1,1,0,1,0,,,,,1
4,2011,0,For-Profit,0,1,8.333333,0,0,1,0,0,1,,,,,1
0,2011,0,Local Authority,0,0,9.6000004,0,1,0,0,0,1,,,,,1
11,2011,0,For-Profit,1,0,5,0,0,0,0,0,1,,,,,1
16,2011,0,For-Profit,1,0,3.5,1,0,1,0,1,0,,,,,1
24,2011,0,For-Profit,0,1,10.566667,1,1,1,0,0,0,,,,,1
7,2011,0,For-Profit,0,1,11.366667,0,0,0,0,0,0,,,,,1
43,2011,0,For-Profit,0,1,9.1000004,0,1,0,0,1,0,,,,,1
21,2011,0,For-Profit,0,1,.26666668,0,0,0,0,0,1,,,,,1
14,2011,0,For-Profit,0,1,10.566667,0,0,0,0,0,1,,,,,1
11,2011,0,For-Profit,1,0,3.2,0,0,0,0,0,0,,,,,1
90,2011,0,For-Profit,0,1,11.266666,1,1,0,0,0,0,,,,,1
40,2011,0,For-Profit,0,1,8.3999996,0,1,0,0,0,0,,,,,1
32,2011,0,For-Profit,1,0,3.5999999,0,1,0,0,0,1,,,,,1
27,2011,0,Local Authority,0,0,10.966666,1,0,1,0,1,1,,,,,1
57,2011,0,For-Profit,0,1,11.2,1,1,0,0,0,0,,,,,1
18,2011,0,For-Profit,0,1,3.5,0,0,0,0,0,1,,,,,1
